model,condition,question_class,accuracy
Qwen3.6-27B,with video,Camera rel.,00.2833325
Qwen3.6-27B,with video,Fixture,0.541683333
Qwen3.6-27B,with video,Last placement,0.04165
Qwen3.6-27B,with video,Last visible,0.008325
Qwen3.6-27B,with video,Obj. distance,0.350008333
Qwen3.6-27B,with video,Obj. relation,0.366675
Qwen3.6-27B,with video,Visibility,0.725
Qwen3.6-27B,without videos,Camera rel.,0.183325
Qwen3.6-27B,without videos,Fixture,00.391675
Qwen3.6-27B,without videos,Last placement,0
Qwen3.6-27B,without videos,Last visible,0
Qwen3.6-27B,without videos,Obj. distance,0.35
Qwen3.6-27B,without videos,Obj. relation,0.249975
Qwen3.6-27B,without videos,Visibility,0.4666625
Qwen3-VL-235B-Instruct,with video,Camera rel.,0.225
Qwen3-VL-235B-Instruct,with video,Fixture,0.483333333
Qwen3-VL-235B-Instruct,with video,Last placement,0.083339167
Qwen3-VL-235B-Instruct,with video,Last visible,0.008333333
Qwen3-VL-235B-Instruct,with video,Obj. distance,0.3333325
Qwen3-VL-235B-Instruct,with video,Obj. relation,0.275003333
Qwen3-VL-235B-Instruct,with video,Visibility,0.658330417
Qwen3-VL-235B-Instruct,without videos,Camera rel.,0.275
Qwen3-VL-235B-Instruct,without videos,Fixture,0.375
Qwen3-VL-235B-Instruct,without videos,Last placement,0
Qwen3-VL-235B-Instruct,without videos,Last visible,0
Qwen3-VL-235B-Instruct,without videos,Obj. distance,0.32775
Qwen3-VL-235B-Instruct,without videos,Obj. relation,0.358325
Qwen3-VL-235B-Instruct,without videos,Visibility,0.4916875
InternVL3_5-8B,with video,Camera rel.,0.2
InternVL3_5-8B,with video,Fixture,0.2917
InternVL3_5-8B,with video,Last placement,0
InternVL3_5-8B,with video,Last visible,0
InternVL3_5-8B,with video,Obj. distance,00.3583
InternVL3_5-8B,with video,Obj. relation,0.3833
InternVL3_5-8B,with video,Visibility,0.4791
InternVL3_5-8B,without videos,Camera rel.,0.1667
InternVL3_5-8B,without videos,Fixture,0.3417
InternVL3_5-8B,without videos,Last placement,0
InternVL3_5-8B,without videos,Last visible,0
InternVL3_5-8B,without videos,Obj. distance,0.325
InternVL3_5-8B,without videos,Obj. relation,0.375
InternVL3_5-8B,without videos,Visibility,0.4875
VLM-3r,with video,Camera rel.,0.208333
VLM-3r,with video,Fixture,0.541667
VLM-3r,with video,Last placement,0
VLM-3r,with video,Last visible,0
VLM-3r,with video,Obj. distance,0.300000
VLM-3r,with video,Obj. relation,0.291667
VLM-3r,with video,Visibility,0.408333
VLM-3r,without videos,Camera rel.,0.1667
VLM-3r,without videos,Fixture,0.375
VLM-3r,without videos,Last placement,0
VLM-3r,without videos,Last visible,0
VLM-3r,without videos,Obj. distance,0.3083
VLM-3r,without videos,Obj. relation,0.3667
VLM-3r,without videos,Visibility,0.5
